Region ,Dead,Lon,Lat
Mediterranean,1.00,-5.3027,35.9059
Mediterranean,3.00,16.2072,36.0704
Mediterranean,4.00,12.3379,34.1824
Mediterranean,2.00,15.5278,33.6931
Mediterranean,1.00,13.3303,32.8975
Mediterranean,1.00,12.4915,32.8082
Mediterranean,1.00,-2.9138,35.1742
Mediterranean,<Null>,-2.9181,35.1746
Mediterranean,1.00,27.0435,37.7076
Mediterranean,5.00,12.4839,32.8384
Mediterranean,1.00,13.1352,32.9521
Mediterranean,10.00,13.2347,32.9574
Mediterranean,2.00,13.6262,35.5909
Mediterranean,1.00,12.5314,32.8855
Mediterranean,<Null>,18.0687,34.0677
Mediterranean,9.00,12.6659,32.7880
Mediterranean,1.00,17.6143,34.4940
Mediterranean,10.00,11.9246,36.0796
Mediterranean,6.00,15.8135,31.8829
Mediterranean,13.00,12.7851,33.3457
Mediterranean,4.00,26.6144,39.2099
Mediterranean,4.00,14.1257,34.7335
Mediterranean,1.00,13.4497,34.2737
Mediterranean,1.00,15.3181,34.0760
Mediterranean,22.00,15.8894,33.2714
Mediterranean,120.00,12.3841,32.8147
Mediterranean,18.00,12.5935,33.6015
Mediterranean,1.00,15.8109,36.7147
Mediterranean,2.00,12.3001,36.1182
Mediterranean,1.00,-5.3562,35.8736
Mediterranean,70.00,13.8702,33.5048
Mediterranean,2.00,16.1060,34.9853
Mediterranean,3.00,14.4141,33.9069
Mediterranean,<Null>,13.7096,32.8879
Mediterranean,3.00,15.7256,33.6931
Mediterranean,1.00,15.8574,33.9486
Mediterranean,1.00,16.6045,32.8849
Mediterranean,3.00,12.9014,35.7187
Mediterranean,2.00,-3.5323,36.6328
Mediterranean,7.00,-5.5989,35.9859
Mediterranean,7.00,16.2529,32.8111
Mediterranean,7.00,16.1870,33.3083
Mediterranean,1.00,17.4834,33.7296
Mediterranean,1.00,14.8906,33.3266
Mediterranean,1.00,9.1183,37.5068
Mediterranean,204.00,30.1384,31.9080
Mediterranean,5.00,12.5986,32.7880
Mediterranean,4.00,12.5560,32.7834
Mediterranean,5.00,12.7703,33.0969
Mediterranean,1.00,20.2655,39.5061
Mediterranean,17.00,15.6665,34.7086
Mediterranean,1.00,11.7554,35.8196
Mediterranean,44.00,14.3481,33.1045
Mediterranean,22.00,27.1115,37.8484
Mediterranean,4.00,15.9961,32.6801
Mediterranean,<Null>,16.5234,31.9224
Mediterranean,8.00,26.6309,38.6692
Mediterranean,1.00,15.8862,34.5645
Mediterranean,7.00,26.4935,39.3988
Mediterranean,1.00,12.6563,34.9797
Mediterranean,7.00,15.1831,33.1597
Mediterranean,2.00,13.6230,35.1092
Mediterranean,15.00,-5.3641,35.8793
Mediterranean,12.00,27.1582,37.2832
Mediterranean,34.00,27.1199,37.2948
Mediterranean,4.00,27.2564,37.7827
Mediterranean,<Null>,26.5057,39.2836
